ear,mar,driver_state,label
0.2451,1.2439,alert,0
0.3189,1.2012,alert,0
0.312,2.7184,alert,0
0.2835,1.0552,alert,0
0.2526,0.8817,alert,0
0.3997,0.7047,alert,0
0.3022,1.2007,alert,0
0.3304,1.016,alert,0
0.0805,0.8809,alert,0
0.3218,1.484,alert,0
0.0897,0.9782,alert,0
0.2929,1.1422,alert,0
0.2708,1.3165,alert,0
0.3081,1.2387,alert,0
0.2679,0.9286,alert,0
0.3217,1.1178,alert,0
0.3539,1.4182,alert,0
0.3152,1.0646,alert,0
0.3104,1.2787,alert,0
0.2742,1.8703,alert,0
0.3628,1.0952,alert,0
0.3815,0.8858,alert,0
0.2553,1.1042,alert,0
0.3369,1.0589,alert,0
0.2708,1.1581,alert,0
0.2895,1.3174,alert,0
0.2726,1.0977,alert,0
0.2938,1.1709,alert,0
0.2899,0.9778,alert,0
0.3657,1.0261,alert,0
0.2314,1.1214,alert,0
0.268,1.0827,alert,0
0.3111,1.2494,alert,0
0.351,1.1812,alert,0
0.3083,1.1089,alert,0
0.314,1.2058,alert,0
0.3041,1.2621,alert,0
0.3142,1.007,alert,0
0.3052,1.0822,alert,0
0.341,1.1588,alert,0
0.3081,1.3741,alert,0
0.3184,1.3903,alert,0
0.1602,1.07,alert,0
0.2973,1.3776,alert,0
0.3626,1.101,alert,0
0.2443,0.9864,alert,0
0.3802,0.9028,alert,0
0.2453,1.8095,alert,0
0.4784,0.6429,alert,0
0.0628,0.9272,alert,0
0.3309,0.9726,alert,0
0.2501,0.9421,alert,0
0.3602,1.1936,alert,0
0.3567,1.1774,alert,0
0.3173,1.1157,alert,0
0.2768,1.2579,alert,0
0.3327,1.0087,alert,0
0.3666,0.8878,alert,0
0.3322,1.6588,alert,0
0.2777,1.0626,alert,0
0.2622,1.1411,alert,0
0.4501,2.2556,alert,0
0.2567,1.0496,alert,0
0.2948,0.9014,alert,0
0.3139,1.1703,alert,0
0.3124,1.0481,alert,0
0.3189,1.0708,alert,0
0.3528,1.0983,alert,0
0.3225,2.2424,alert,0
0.3003,1.4562,alert,0
0.2316,1.0429,alert,0
0.2756,1.0083,alert,0
0.2759,1.1756,alert,0
0.3751,0.896,alert,0
0.2338,1.0376,alert,0
0.3264,1.1174,alert,0
0.2962,1.23,alert,0
0.328,1.0948,alert,0
0.4,0.7268,alert,0
0.3389,0.9956,alert,0
0.2949,1.1507,alert,0
0.334,0.7391,alert,0
0.2979,1.0505,alert,0
0.3314,1.1111,alert,0
0.3705,0.8917,alert,0
0.3239,1.1113,alert,0
0.271,1.1177,alert,0
0.3433,0.92,alert,0
0.3659,0.994,alert,0
0.3066,1.0311,alert,0
0.3225,1.1909,alert,0
0.4178,0.5593,alert,0
0.3692,1.0566,alert,0
0.1809,1.0522,alert,0
0.2628,0.8001,alert,0
0.3078,1.1162,alert,0
0.2822,1.0976,alert,0
0.3376,0.6807,alert,0
0.3244,0.8163,alert,0
0.1875,1.0895,alert,0
0.3101,1.1476,alert,0
0.3289,1.3356,alert,0
0.2631,1.8181,alert,0
0.3384,1.0108,alert,0
0.3622,1.0292,alert,0
0.3753,0.8751,alert,0
0.342,1.1005,alert,0
0.3012,1.1198,alert,0
0.1412,1.1223,alert,0
0.1519,0.9893,alert,0
0.3393,0.9375,alert,0
0.3089,1.2534,alert,0
0.4015,0.6995,alert,0
0.2692,0.9864,alert,0
0.5938,6.3325,alert,0
0.2982,1.2334,alert,0
0.2849,1.2634,alert,0
0.2838,1.0232,alert,0
0.275,1.025,alert,0
0.3946,0.8443,alert,0
0.3306,1.1224,alert,0
0.353,1.2025,alert,0
0.5374,0.5851,alert,0
0.5824,0.51,alert,0
0.3352,0.9878,alert,0
0.3631,0.9231,alert,0
0.3012,1.6709,alert,0
0.3709,1.9622,alert,0
0.2668,1.042,alert,0
0.3178,1.1803,alert,0
0.2756,1.0309,alert,0
0.3445,1.0764,alert,0
0.3438,1.6516,alert,0
0.2966,1.1776,alert,0
0.2731,0.8741,alert,0
0.3329,1.1785,alert,0
0.2207,0.9797,alert,0
0.3334,1.3361,alert,0
0.291,1.2225,alert,0
0.3128,0.8071,alert,0
0.0484,0.9928,alert,0
0.37,0.9695,alert,0
0.2828,0.803,alert,0
0.2559,0.9087,alert,0
0.2727,1.1147,alert,0
0.3332,1.2937,alert,0
0.2301,0.9938,alert,0
0.2522,1.2079,alert,0
0.4248,2.9162,alert,0
0.2368,0.9878,alert,0
0.2386,1.2683,alert,0
0.3188,1.0482,alert,0
0.2839,1.1203,alert,0
0.2382,0.9967,alert,0
0.3731,0.9069,alert,0
0.2414,1.0912,alert,0
0.1456,0.7168,alert,0
0.3789,0.6737,alert,0
0.2446,0.9697,alert,0
0.4786,3.4592,alert,0
0.2874,1.1203,alert,0
0.3849,1.1062,alert,0
0.3835,0.5925,alert,0
0.3381,1.1042,alert,0
0.2668,1.1701,alert,0
0.3659,0.9895,alert,0
0.214,1.0294,alert,0
0.3394,1.0739,alert,0
0.3338,0.9158,alert,0
0.2825,1.1133,alert,0
0.3099,1.046,alert,0
0.3612,0.6736,alert,0
0.2942,1.1458,alert,0
0.3213,1.3176,alert,0
0.3042,0.9813,alert,0
0.2992,1.091,alert,0
0.365,0.6491,alert,0
0.3382,0.9447,alert,0
0.2285,1.0122,alert,0
0.3055,0.925,alert,0
0.329,0.7207,alert,0
0.2442,0.9122,alert,0
0.3206,1.0535,alert,0
0.3192,1.4193,alert,0
0.2995,1.0964,alert,0
0.2301,1.1399,alert,0
0.4067,0.583,alert,0
0.3623,0.7402,alert,0
0.2374,1.0655,alert,0
0.3919,0.898,alert,0
0.2006,1.0238,alert,0
0.1072,1.0712,alert,0
0.5524,0.5292,alert,0
0.2508,0.9003,alert,0
0.3687,1.1542,alert,0
0.2355,1.0731,alert,0
0.393,0.9508,alert,0
0.3463,1.36,alert,0
0.3145,1.1351,alert,0
0.2353,0.9612,alert,0
0.3715,0.9508,alert,0
0.2396,0.9583,alert,0
0.3545,1.0738,alert,0
0.2775,1.2186,alert,0
0.2677,1.0196,alert,0
0.2085,1.5479,alert,0
0.2697,1.1035,alert,0
0.3618,1.0478,alert,0
0.2395,1.1565,alert,0
0.2565,0.9755,alert,0
0.3257,1.15,alert,0
0.2782,1.1755,alert,0
0.3061,1.1504,alert,0
0.356,2.2587,alert,0
0.2264,0.9856,alert,0
0.3997,0.9176,alert,0
0.3927,0.6377,alert,0
0.261,0.886,alert,0
0.2528,1.0214,alert,0
0.3293,1.2134,alert,0
0.3179,1.1305,alert,0
0.2328,1.1484,alert,0
0.3316,2.2266,alert,0
0.2605,1.171,alert,0
0.2599,1.1211,alert,0
0.1684,1.1563,alert,0
0.377,1.0422,alert,0
0.3134,0.8059,alert,0
0.3069,0.7423,alert,0
0.3165,2.339,alert,0
0.3049,1.1399,alert,0
0.2725,0.7621,alert,0
0.3188,1.2051,alert,0
0.4017,0.9632,alert,0
0.3905,0.6786,alert,0
0.2314,0.9536,alert,0
0.3084,1.0879,alert,0
0.2374,0.8986,alert,0
0.2643,0.8538,alert,0
0.2432,1.0956,alert,0
0.3294,1.2604,alert,0
0.3021,0.7322,alert,0
0.3554,0.8868,alert,0
0.3351,1.0277,alert,0
0.28,0.8678,alert,0
0.3098,1.3463,alert,0
0.2426,1.1985,alert,0
0.2555,1.2377,alert,0
0.3274,1.1064,alert,0
0.2593,1.1023,alert,0
0.2922,1.1609,alert,0
0.348,1.2027,alert,0
0.2384,0.8612,alert,0
0.3686,1.0513,alert,0
0.2422,1.0915,alert,0
0.3379,0.895,alert,0
0.3021,1.0028,alert,0
0.4228,1.6111,alert,0
0.2558,1.2393,alert,0
0.3333,1.5738,alert,0
0.3155,1.1214,alert,0
0.2936,1.1517,alert,0
0.2579,1.0665,alert,0
0.3828,1.1431,alert,0
0.2171,1.0851,alert,0
0.1082,1.1796,alert,0
0.1724,0.8012,alert,0
0.3151,1.155,alert,0
0.3108,0.6499,alert,0
0.2407,1.027,alert,0
0.2576,0.9959,alert,0
0.326,0.7248,alert,0
0.2812,2.3553,alert,0
0.3517,0.6889,alert,0
0.3882,0.9624,alert,0
0.2458,1.4154,alert,0
0.2636,1.1996,alert,0
0.2648,0.9373,alert,0
0.3618,0.8978,alert,0
0.2985,1.0845,alert,0
0.4019,1.9587,alert,0
0.3475,0.6188,alert,0
0.3287,1.1139,alert,0
0.4052,1.6023,alert,0
0.3286,1.1327,alert,0
0.407,0.7067,alert,0
0.2107,1.1484,alert,0
0.2362,1.0464,alert,0
0.293,1.084,alert,0
0.3193,1.2144,alert,0
0.2617,1.0635,alert,0
0.3209,0.9811,alert,0
0.3533,1.1983,alert,0
0.2685,1.0334,alert,0
0.3501,0.9229,alert,0
0.2682,1.1247,alert,0
0.2806,1.2649,alert,0
0.2315,1.0473,alert,0
0.2975,0.7059,alert,0
0.3384,0.9918,alert,0
0.3493,0.9363,alert,0
0.2217,1.4769,alert,0
0.3007,1.1087,alert,0
0.2403,1.0139,alert,0
0.3721,0.99,alert,0
0.2191,1.051,alert,0
0.3702,0.6796,alert,0
0.201,1.0216,alert,0
0.2819,1.0893,alert,0
0.3958,0.6688,alert,0
0.1794,1.1129,alert,0
0.3886,1.1442,alert,0
0.2772,1.1861,alert,0
0.2805,1.0661,alert,0
0.2911,1.2075,alert,0
0.3709,0.7579,alert,0
0.2235,1.2186,alert,0
0.3695,0.616,alert,0
0.3691,1.0665,alert,0
0.2662,1.2389,alert,0
0.3063,1.2724,alert,0
0.2431,1.0852,alert,0
0.279,1.1996,alert,0
0.3847,0.8877,alert,0
0.5243,3.9166,alert,0
0.2835,0.9218,alert,0
0.2412,1.1349,alert,0
0.3471,0.9923,alert,0
0.3333,1.1142,alert,0
0.4649,3.307,alert,0
0.3763,0.9161,alert,0
0.3645,0.9309,alert,0
0.3128,1.2306,alert,0
0.2398,1.0424,alert,0
0.2036,1.0958,alert,0
0.3216,0.9221,alert,0
0.3835,0.6444,alert,0
0.2917,1.0713,alert,0
0.307,1.1394,alert,0
0.2684,0.9687,alert,0
0.2831,1.0579,alert,0
0.2451,0.9888,alert,0
0.4892,0.6403,alert,0
0.2562,1.2579,alert,0
0.4152,1.0228,alert,0
0.2073,1.0885,alert,0
0.2856,0.999,alert,0
0.3052,1.1787,alert,0
0.2634,1.2165,alert,0
0.3585,0.7349,alert,0
0.2953,1.1729,alert,0
0.2618,1.3341,alert,0
0.2781,1.1087,alert,0
0.2264,0.9992,alert,0
0.2949,1.256,alert,0
0.3349,0.9932,alert,0
0.3582,0.621,alert,0
0.2533,1.1465,alert,0
0.1123,1.8869,alert,0
0.2631,1.224,alert,0
0.3484,1.0432,alert,0
0.3209,1.1336,alert,0
0.2939,1.2231,alert,0
0.2146,1.0554,alert,0
0.3861,0.9797,alert,0
0.3718,1.3023,alert,0
0.3626,0.8976,alert,0
0.3323,1.1081,alert,0
0.2761,1.139,alert,0
0.3112,1.11,alert,0
0.2359,1.0158,alert,0
0.2374,1.0343,alert,0
0.3721,1.2239,alert,0
0.2691,1.0554,alert,0
0.3069,0.9579,alert,0
0.2225,1.019,alert,0
0.3355,0.9905,alert,0
0.1295,1.3719,alert,0
0.2898,1.123,alert,0
0.3079,1.389,alert,0
0.2861,1.1477,alert,0
0.3416,1.2425,alert,0
0.3796,0.7134,alert,0
0.3228,0.91,alert,0
0.2898,1.2202,alert,0
0.3268,0.973,alert,0
0.4051,1.6838,alert,0
0.3207,1.0455,alert,0
0.3602,1.3302,alert,0
0.3799,0.7459,alert,0
0.353,1.1559,alert,0
0.399,0.6677,alert,0
0.3191,1.1845,alert,0
0.2964,1.0842,alert,0
0.2487,1.0922,alert,0
0.251,1.2371,alert,0
0.2896,1.2834,alert,0
0.3663,1.0256,alert,0
0.3707,0.8791,alert,0
0.2569,1.1509,alert,0
0.2909,0.9772,alert,0
0.2242,1.0513,alert,0
0.3699,0.792,alert,0
0.338,1.1299,alert,0
0.3396,1.1245,alert,0
0.2914,1.0853,alert,0
0.3838,0.6921,alert,0
0.3114,1.1535,alert,0
0.3052,1.1591,alert,0
0.2893,1.2238,alert,0
0.3554,1.1236,alert,0
0.3165,0.9464,alert,0
0.1623,1.2381,alert,0
0.2965,1.0866,alert,0
0.3816,0.7113,alert,0
0.2692,1.0071,alert,0
0.3726,1.3714,alert,0
0.2415,1.3953,alert,0
